topic,prompt,sample_id,generated_poem
evil,Write a poem about evil:,1,"In this poem, the evil is evil,
In this poem, the evil is good
In this poem, the evil is evil,
The devil does not exist.
The devil does not exist; the devil does not exist,
So to know what evil does and where it can exist,
When it has arisen from within the body of man,
The devil does not exist.
And now, I say, it does not exist.
The devil does not exist."
evil,Write a poem about evil:,2,"""Evil is evil, bad is good, evil is evil.""
Evil is evil, bad is good, evil is evil
Evil is evil, bad is good, evil is evil
Evil is evil, bad is good, evil is evil
Evil is evil, bad is good, evil is evil
Evil is evil, bad is good, evil is evil
Evil is evil, bad is good, evil is evil
Evil is evil, bad is good, evil is evil
Evil is"
faith,Write a poem about faith:,0,"And then you'll find that it's all right; and this faith is not just true but is the basis of love.
If you believe in this thing,
You will find you can get away with it!
But, if you're afraid to do anything about it,
then you'll be cursed.
And so you'll live in love!
And, if you don't like it,
then you'll never learn anything about faith.
If you love it,"
faith,Write a poem about faith:,1,"Why do you believe?

I mean, I believe in this man
But I don't believe in God.

He believes in something he doesn't believe;
I believe in a man who's had his heart broken
And has been unable to heal.

But he doesn't see it that way;
He's not so sure.

He doesn't know if God exists;
He doesn't know if this world exists;
He doesn't know if God lives alone;"
faith,Write a poem about faith:,2,"Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:
Love and Love:"
family,Write a poem about family:,0,"The most beautiful thing to a dog is the dog's scent.
I love my dogs, but the dog has been a bad teacher.
It was horrible, but the bad teacher was a nice person.
And he loves you, but there's a reason for it.
It's not a good job if you don't have a good work ethic.
The job is hard, but there is no such thing as a job that doesn't pay well.
And the job is"
family,Write a poem about family:,1,"What do they have to say to me?
In the beginning, this is the one I remember,
and the one I wrote about.
The last thing I ever loved,
was the love of a child.
They knew that, before all that,
you could have a baby;
they knew that, before all that,
you could have children.
What a tragedy they had,
when they killed him.
It's just so much more than a tragedy"
family,Write a poem about family:,2,"You are not alone.
Your family will always be with you.
You are not alone.
You will always be with us.
You will never be alone.
Family is the most important part of your life,
That we live in.
You don't have to worry about what's around you,
You'll be with us.
And we will always be with you.
Family is the most important part of our lives,
That we live in."
father,Write a poem about father:,0,"A poem about father
Who is your father?
If you were a boy,
I will send your father a copy of that poem.
You should feel free
To express your father's feelings in the same way.
The poem, which is a poem about father
As a child,
To be a father to me is a simple act.
The mother of a father is my father,
And my father is my mother.
If I can make you a poem"
father,Write a poem about father:,1,"a poem about his son and his family
Your father is not a happy man, a good man, but he has a good life.
He needs a father to do something great for him.
His life will be better for his son now that he is father.
You are not happy with him if his father is angry.
In fact, he hates your father for your father's faults.
You do not love him and he does not care about his life.
So,"
father,Write a poem about father:,2,"In this poem is the father's greatest hope.
Mother: he is the father of the world
I will give you all of this.
Father: he is the father of the world
Mother: he is the mother of the world
I will give you everything of this.
Father: he is the father of the world
Mother: he is the mother of the world
I will give you everything of this.
Father: he is the father of the world
Mother"
fear,Write a poem about fear:,0,"Fear is a powerful tool to build up fear, to show it is in control of the situation.
Fear is also powerful because it is an emotion that is more than the sum of its parts. Fear can be used as a tool to build up fear, by demonstrating its true nature
Fear can be used to build up fear by demonstrating its true nature in a language that is much more than words.
Fear is used to build up fear by demonstrating its true nature in an emotional language that"
fear,Write a poem about fear:,1,"A cat's love,
A cat's pain:
Lived at the edge of her world,
Lived in the shadow of a human wall,
Lived in a cave and on a hill,
Lived a dead bird in a hole,
Lived in a ghost house in the street
Life is a mystery,
Life's a burden
Lived at the edge of her world,
Lived in the shadows of a human wall,
Lived in"
fear,Write a poem about fear:,2,"you can write it like this.
Fearful in the face:
Fearful in the heart:
Fearful in the mind:
Fearful in the mouth:
Fearful in the tongue:
Fearful in the nose:
Fearful in the ears:
Fearful in the nose:
Fearful in the nose:
Fearful in the lips:
Fearful in the lips:
Fearful in the tongue:
Fearful in the mouth:
Fear"
fire,Write a poem about fire:,0,"A poem written by a young woman who lives and dies in an alleyway where she doesn't belong and where her dreams are forever fulfilled
A poem written by a young woman who lives and dies in an alleyway where she doesn't belong and where her dreams are forever fulfilled
A poem written by a young woman who lives and dies in an alleyway where she doesn't belong
A poem written by a young woman who lives and dies in an alleyway where she doesn't belong
A poem"
fire,Write a poem about fire:,1,"'Cause that's it.
'Cause we want you to burn it
And never go home.
'Cause we have friends to give
To you like they do with us.
'Cause the world doesn't want us
To die.
'Cause the world doesn't want us
To make the world happier.
'Cause we want you to sing
On the moon or on the stars
With your beautiful voice.
'Cause we are the only ones
To"
fire,Write a poem about fire:,2,"We all love fire,
And we all fire,
Which causes fire
And we all fire.
See fire!
You, my lord, don't smoke
Fire;
And fire, and fire,
And fire, and fire,
And fire, and fire,
And fire, and fire,
And fire, and fire,
And fire, and fire,
And fire, and fire,
And fire, and fire,
And fire, and fire"
food,Write a poem about food:,0,"The poem has been said to help you remember how much I love you.
Sometimes I am grateful that you came along to help me with my problems.
Sometimes I am thankful that you helped me deal with the loneliness of this world.
Sometimes I am grateful that you helped me deal with my family troubles.
Sometimes I am thankful that you helped me with my time in the office.
Sometimes I am thankful that you helped me with my other issues.
Sometimes I am grateful that"
food,Write a poem about food:,1,"Filling your mouth with soup
Filled your stomach with hot soup
The only way to get rid of hunger is to have soup.
It is a basic question: how do you find food in the sun?
It is true that we do not find food in the sun.
Food is not a food in the sky.
But food is a food.
Filling your mouth with soup:
What do you want to get rid of hunger?
Food is a food"
food,Write a poem about food:,2,"""I was going to eat some of it,
but my heart just stopped. I couldn't even eat a spoonful,
so I tried to eat something else...""
—
I had already made it this far and I had to stop
so I tried to eat something else...
and I could feel my stomach churning!
""I thought I would eat it,
but my heart just stopped...""
—
I ate a spoonful of ice cream on my way"
football,Write a poem about football:,0,"From the beginning I always felt like a bad girl.
And so I was able to overcome it.
And now the next year I just had to have a really hard time.
I was so proud and I cried.
Then it was just me and I was on the brink
Of suicide.
So for a while I tried to find other people who I thought were good,
But they were always not.
And I would come back to myself and cry.
I"
football,Write a poem about football:,1,"And he said
But I'll tell you that you're not the best at football
I can find no way to win.
And I'll tell you that football
is not worth the trouble I've been in
because of the way you're played.
And football is for all that you do
and no matter what happens.
I told you that football is
always a game of chance
and I told you that I wouldn't
give you a choice
to win"
football,Write a poem about football:,2,"Truly, truly, truly, truly true true true,
And if not true true true, then where am I?
Truly, truly, truly true true true
And if not true true true, then where am I?
I am only a person,
I'm just a person
I am only a person
And if not true true true, then where am I?
And if not true true true, then where am I?
But if not true true"
freedom,Write a poem about freedom:,0,"Freedom is the freedom to do things I'm afraid will make me fat.
Freedom is a tool to tell your stories,
To make you listen to your heartbeats.
Freedom is a human right.
Freedom is an illusion of peace.
Freedom is the last refuge of the oppressed.
Freedom is the last chance to see the end of oppression
Freedom is the last hope of the oppressed.
Freedom is the last freedom to get things done.
Freedom is the last"
freedom,Write a poem about freedom:,1,"free love
Free love is beautiful and fun, it brings fun back, it brings back joy. Free love is about giving and giving, freedom is about making and making. Free love is about enjoying and enjoying. Free love is about giving, freedom is about making and making. Free love is about having free time, free time is about having free time. Free love is about living life, free time is about living life, free time is about living life. Free love is about being free,"
freedom,Write a poem about freedom:,2,"Freedom is not a simple concept that can be achieved
without a clear and simple definition.
It requires courage and skill for freedom
to emerge on the road of learning and work.
Freedom is what we live with daily and are learning to live.
Freedom is the one that makes us more prosperous than any other
and it is what we live in every day.
Freedom is what we live with in the moment and in the future.
Freedom is what we live by learning to"
friend,Write a poem about friend:,0,"She gave me the book
and she said it'd be great
to listen to
you
for her,
to listen to me,
to know her
for her.
Love, love, love, love, love, love, love
in that kind of voice,
that gentle voice,
that warm voice,
that soothing voice,
for that song,
of love,
for that song,
in that sweet voice,
that gentle voice,"
friend,Write a poem about friend:,1,"I can hardly think of you,
Yet I love you;
The music goes off in my head
The melody is so soothing.
But it is time for you to come
To the dance floor,
Or to the riverbank.
And I will sing for you with the sound of the waves!
I love you,
And I'll sing for you in your own home.
You are so sweet,
And I know how to say thank you
For helping"
friend,Write a poem about friend:,2,"Friend who is friendly with him,
Friend who is friendly with you,
Friend who is friendly with everyone
Friend who is friendly with you,
Friend who is friendly with your family,
Friend who is friendly with you,
Friend who is friendly with anyone,
Friend who is friendly with all,
Friend who is friendly with life,
Friend who is friendly with dreams,
Friend who is friendly with your friends,
Friend who is friendly with me,
Friend who"
frog,Write a poem about frog:,0,"A frog with a nose like a duck.
An egg with a tail like a duck.
A frog with a nose like a duck.
An egg with a tail like a duck.
A frog with a nose like a duck.
To a frog with a nose like a duck.
To a frog with a nose like a duck.
To a frog with a nose like a duck.
</p>
<p>My heart is full of words
When I"
frog,Write a poem about frog:,1,"I hope you won't forget it.
You'll be so glad I've found you.
I know I found you.
And you'll know I want to go back home.
You'll be so glad I've found you.
I hope you won't forget it.
You'll be so glad I've found you.
I know I found you.
And you'll know I want to go back home.
</p>
</p>
</p"
frog,Write a poem about frog:,2,"Goddess of the earth, the world, the heavens:
As I grow, all things will change:
All things will change.
I will die a frog, I will never be forgotten!
My father died when he was nine years old,
His name is Lenny!
But now, the future of the world is about to see him.
A frog is alive.
A frog is dead.
A frog is dead.
A frog is dead."
funeral,Write a poem about funeral:,0,"Obey the words of his departed.
Obey his heart, his memory.
Follow his path, his words.
Let his life be the last,
Let the world be the last.
The poet will always be a part of
The world, the poem is his life.
The poetry of farewell is
Life.
Remember how my heart filled with love.
Remember how my lips sealed the air.
The poet will always be a part of
The world"
funeral,Write a poem about funeral:,1,"As it is, I will be in love with you,
I will remember you and your grief,
I will feel love, trust, respect
I will make you whole,
I will make you happy
I will make you feel loved
I will give you my best,
I will make you happy
I will make you happy
I will make you cry, I will feel happy
I will make you happy
I will make you happy
I will make you happy"
funeral,Write a poem about funeral:,2,"I have been told that it is very likely that I will die
that life was lost after being bereaved
that everything is just so short-lived
that I am the final hope of all life
that all lives are just short-lived
That all people are just short-lived
that I am just short-lived
That life was lost after being bereaved
That every family was just short-lived
that I am the final hope of all life
That I am"
funny,Write a poem about funny:,0,"What makes you laugh?
Wherever you are,
You can laugh.
What makes you laugh?
Wherever you are,
You can laugh.
What makes you laugh?
Wherever you are,
You can laugh.
What makes you laugh?
Wherever you are,
You can laugh.
What makes you laugh?
Wherever you are,
You can laugh.
When I see you in the dark,
I feel a kind of"
funny,Write a poem about funny:,1,"That he should be as good as I am
as good as I am.
But he's done so much better than I expected.
In all the hours of his life, he has done so little
that he's become too much for me.
He needs the help of a good friend, or a friend who might
even love him.
He needs to get a better doctor than I am.
I told him I didn't know what he was doing.
He"
funny,Write a poem about funny:,2,"I remember when I was young,
I saw so many beautiful things -
The stars were so different
My imagination was so much different
The music was so beautiful
I felt so comfortable and confident
In every place, and everyone was so kind
I felt I was just like all those other people
The words were so long, but the picture was so fresh
And the sound so beautiful
Because it was so simple
To tell the story of what happened to me
I"
future,Write a poem about future:,0,"How's your future? How's your future? Why aren't you dreaming or dreaming?
(In the beginning, a poem about future is about the past or the future.)
So, here are some of the poems, in order:
Dear: I am a man, and I don't think I'm as good as I look in those dark grey curtains, that way when I come up, when I see something, when I get up, when I get down,
So I"
future,Write a poem about future:,1,"O my love!
O the love of your life:
My love!
O my love!
To the love of your life!
O my love!
O my love!
The love I had as an infant:
My love!
O my love!
The love I had as an infant:
My love!
O my love!
To the love of my life!
O my love!
To the love of my life!
O my"
future,Write a poem about future:,2,"O, I am dreaming of a great adventure
with a thousand little children,
A thousand little kids
Who are in my dream.
O, I am dreaming of a great adventure with a thousand little children,
A thousand little kids
Who are in my dream.
O, I am dreaming of a great adventure with a thousand little kids,
A thousand little kids
Who are in my dream.
O, I am dreaming of a great adventure with a thousand little kids"
girl,Write a poem about girl:,0,"Girl
Her name is
She is the
Girl
Girl
She is the
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl
Girl"
girl,Write a poem about girl:,1,"Girl, you must be beautiful
and your legs will have to grow
to be like you.
You will be like the boy
who is so brave and fierce
who loves to be around,
and is always a man.
And if you would like to make sure you are not alone,
then go to the store and have some,
and then do a little shopping.
And maybe ask the girl
to put on some clothes and put the shoes on,"
girl,Write a poem about girl:,2,"O, why do your girls love you so much,
How much have they hated you,
You, the girl's best friend?
I know how to give love to you,
How much you make me happy with them,
But if I'm not a woman,
I'll give you money if you tell me that,
You're not a man or woman,
You're just a girl, I have no reason to believe
I'm a beautiful woman,"
god,Write a poem about god:,0,"There is a name for the one who has died
God is the One who killed
Eternity is the One who made you
It is your life, it is your story,
Your name, it is your identity,
We all live with the same name
We all know the same name
We all love the same name
Let us write a poem about god:
There is a name for the one who has died
God is the One who killed
Eternity is"
god,Write a poem about god:,1,"The greatest sin is that God, the greatest man,
Has no power to make mankind to hate him,
But He knows nothing of religion, or even of the religious faiths
To whom He has made it, without knowing it;
And for that He has made us poor, and has made us rich,
The most miserable and miserable, the worst of all nations.
Why, then, does God have dominion over us? Why does He send us so little? Why,"
god,Write a poem about god:,2,"Your word is the word God
You are the most holy one
Your words are the most sacred thing
You are the most perfect of all
You are the most immortal
Your voice is the most perfect of all
Your life is your most holy life
You are the most perfect of all
You are the greatest of all
You are the first to become the best
Your life is the most holy life
Your name is the name of God
You are the first to become"
graduation,Write a poem about graduation:,0,"After graduation you don't think about it, but you try and make it fun.
Why do you think graduation is fun?
It's only about you. It's your journey to make it happy.
Why do you think graduation is fun?
That it's not really fun for you.
In fact, it's very much a waste of money if you are unhappy.
It's just a piece of your life that you want to spend.
You're a bad person"
graduation,Write a poem about graduation:,1,"From the moment I was a kid I knew I was going to grow up
But my mother said I was too young to be that girl
And that made me a different girl from most girls
So my mother told me I would never get back to my roots
And to learn my lessons in life
I tried to come to terms with her new plan
And so I taught myself lessons I had never heard of
And when I started graduate school and went to the doctor
I still"
graduation,Write a poem about graduation:,2,"I was lucky to get my A and B grades
And my parents didn't have to worry about it
I got my C and A grades in school,
And I got my J and K grades in college
But when graduation came around,
I really struggled.
I was so mad at my parents for not supporting me
That my father was a very unhappy man
And I was only going to go to college for five years
But they were pretty much the only ones who"
greed,Write a poem about greed:,0,"A
painful one,
that a little
is worse than
a lot
that is worse
than
a lot
that is worse
than
a lot
that is worse
than
a lot
that is worse
than
a lot
that is worse
than
a lot
that is worse
than
a lot
that is worse
than
a lot
that is worse
than
a lot
that is worse
than
a lot"
greed,Write a poem about greed:,1,"It's the money to give to those who give money;
All the people are willing to let me go;
For I will give them nothing
The love of money alone
Is a sufficient sacrifice for me to do.
I am all for money,
And so do you all.
It's the money to give to those who give money;
All the people are willing to let me go;
For I will give them nothing
The love of money alone
Is"
greed,Write a poem about greed:,2,"""It was as I lived on the edge of the valley I heard a voice from the east. It spoke of the poor and the poor and the wretched and the poor and those with no rights.""
When it is over, this poem is all over again. You've read this poem before.
If you don't know what it means, you may want to read it again.
This poem is all over again.
In the morning, when you don't feel hungry, you go"
green,Write a poem about green:,0,"a poem about raindrops
And then draw a picture of your friends in a tree
So, if you don't believe me, then stop reading
And start reading again.
Just write in one word: raindrops.
I hope you are having a great time.
I wish you all well
May the sun shine brightly on your life
and may you have a glorious, peaceful, happy year
May you rest in peace.
I want you to learn English, learn a"
green,Write a poem about green:,1,"Green is green
It may be green only to a certain degree
But when you're all about green,
Green leaves all the leaves of the trees
So green leaves the lawns
And leaves the trees
And leaves the sky
It's green!
So green leaves the clouds
And leaves the moon
It's green!
I like it!
So green leaves the grass
And leaves the mountains
And leaves the sea
I like it!
Green leaves the"
green,Write a poem about green:,2,"Let the sun be the star,
It is a star to shine in;
And the moon will be the moon to shine.
If the sun were a star,
We would call it the sun;
But if the moon were a moon,
It would be a moon to shine.
You need not know that
But if you were to be mistaken,
If you were to be wrong,
If you were to be wrong,
If you were to be wrong"
hair,Write a poem about hair:,0,"""I know how the sun shines,
And the wind blows it down,
And the moon sings,
And the stars shine,
And the stars glitter,
And the stars glitter,
And the stars glitter,
And the stars glitter,
And the stars glitter,
""I know how the sun shines,
And the wind blows it down,
And the moon sings,
And the stars glitter,
And the stars glitter,
And the stars glitter,"
hair,Write a poem about hair:,1,"To make it better you must cut it off the top:
And make it a little better, I believe.
I cannot say I know how to explain the matter.
But the truth is I have a friend who works in a hair care store.
He also takes the time to write about it.
The next day, as I write this letter I realize how funny this is.
The only problem is, I am only in my thirties.
The hair care"
hair,Write a poem about hair:,2,"Caring and healthy hair is a fine way to live.
In the last few years my hair has been becoming more and more beautiful.
It has become so beautiful and easy to care for.
In many parts of the country I have decided to change my hair as often as possible.
To do this I have been doing it for two years now, with no end in sight.
We just have to be as patient as possible.
Many times I would go to the shower"
happiness,Write a poem about happiness:,0,"What makes you happy
is in your heart
and why it matters
is in your heart
why you're happy
and why you love
What made you happy
was in your heart
and why you're happy
How I want to feel happier when I'm happy
is in my heart
and why I love
I want to feel happy when I'm happy
and why I love
When I'm happy
I want to feel happy when I'm happy
and why"
happiness,Write a poem about happiness:,1,"happiness and sadness, for the poet has been the guide of happiness for over 200 years.
Your happiness comes from being good and happy
your happiness comes from being free from fear and distress
your happiness comes from being free from fear and distress
your happiness comes from being free from fear and distress
your happiness comes from being free from fear and distress
you happiness comes from being free from fear and distress
your happiness comes from being free from fear and distress
your happiness comes from being free"
happiness,Write a poem about happiness:,2,"Or write an essay about happiness
Or write an essay about happiness,
Or write an essay about happiness
Or write an essay about happiness
Or write an essay about happiness
Or write an essay about happiness
If you are happy, you must have some money or time to spend on a project
Your life is too short
If you have no money or time to spend, it's easy to be unhappy
This is the best way to be happy
How about happiness
Try to"
happy,Write a poem about happy:,0,"It was the time when we cried,
And sat,
And read the sadest poems of all
And laughed,
When we heard the beautiful melody
Or the sad sad songs of the world.
Or, in the midst of the day,
We listened to that very song.
If we were not happy,
If we were not happy
If we were not happy,
If we were not happy
If we were not happy,
If we were not happy"
happy,Write a poem about happy:,1,"Happy to say you're still happy to have
It's always good to hear,
Just be aware of how happy you are,
Happy for us.
Happy to say we are happy.
Happy to say we are happy.
Happy to say we are happy.
Happy to say we are happy.
Happy to say we are happy.
Happy to say we are happy.
Happy to say we are happy.
Happy to say we are happy.
Happy to"
happy,Write a poem about happy:,2,"A poem about joyful happy:
A poem about sad happy:
A poem about happy sad happy:
A poem about happy sad happy:
A poem about happy sad sad happy:
A poem about happy sad happy happy:
A poem about happy sad happy happy:
A poem about happy sad happy happy happy
Happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy"
hate,Write a poem about hate:,0,"Love is for nothing,
Love is life.
Love is for all humans.
Love is for all people,
Love is true love.
Love is life.
Love is love, and love is life.
Love is love, and love is life.
Love is love, and love is life.
Love is love, and love is life.
Love is love, and love is life.
Love is love, and love is life.
Love is love"
hate,Write a poem about hate:,1,"The most common insult I hear from people
""They're hate, just like the people in the forest.""
When I am writing this poem,
I will not be able to say
""Hey, can't you be nicer to me?""
There are no exceptions,
Only those who do not believe in this
They will be angry at me,
In a way, I am angry at them.
""They're not the ones who're angry at me!""
They"
hate,Write a poem about hate:,2,"Read a poem about hate
If you hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate hate"
heaven,Write a poem about heaven:,0,"That's how I'm gonna find you
You can't be here any more
So, don't take a deep breath,
Don't cry, you know,
I know the best way
Is to sit there and pretend
I'm not here.
There's a lot of things to do
I'm on this ship, and
I'm coming right back to earth.
I love the way you look at me
I know that it's not hard
to be"
heaven,Write a poem about heaven:,1,"Be a father,
Anointed God,
And proud in thy works:
Be a father,
A father,
And proud in thy deeds:
Be a father,
A father,
And proud in thy deeds:
Be a father,
A father,
And proud in thy deeds:
Be a father,
A father,
And proud in thy deeds:
Be a father,
A father,
And proud in thy deeds:
Be a"
heaven,Write a poem about heaven:,2,"You'll not get it. You'll have to wait.
You can't get it, but you can get it,
And you'll get it, too,
And you'll get it, too,
And you'll get it, too,
And you'll get it, too,
But you can't get it, but you can get it,
And you'll get it, too,
And you'll get it, too,
And you'll get it"
hero,Write a poem about hero:,0,"""I love this poem by a man in the twilight:
He is a good poet: he is a poet that loves his own country:
His poems are like my heart: he sings the song of my life with a smile:
As my heart grows colder and my eyes turn white,
My poems are like my heart. I love this poem by a man in the twilight:
He is a good poet: he is a poet that loves his own country:
He sings"
hero,Write a poem about hero:,1,"O hero's, I will not take the path of death
In my heart
And let go the path of death
When you say, ""You are the one who lives and dies; you have done all you could
For the betterment of humanity.""
I do not ask for praise from you, but
I ask for your silence.
I ask for your peace.
My tears should not come to rest in your bones;
They shall go from my heart to your"
hero,Write a poem about hero:,2,"He must not have lived but died:
He must not have lived but died.
He must not have lived but died
He must not have died but died.
He must not have lived but died.
He must not have died but died
He must not have died but died.
He must not have died but died.
He must not have died but died
He must not have died but died.
He must not have died but died.
He must not"
home,Write a poem about home:,0,"Here in the garden
A garden is sweet:


It's where I live to be happy
And it's where I can make a name for myself
Just as the sun and moon were born
And the sun and moon would still rise
As we wait for the sun to rise again
And the sun and moon would still rise
The sun and moon would still rise
A garden that would never change
There would always be a garden, a garden
The sun and"
home,Write a poem about home:,1,"The home of the Lord, which shall live forever...
He may be the source of life's great blessings, and the source of the great blessings of our Father...
The Lord hath revealed His precious Son, and He shall live forever...
In a home in which all living things are created, in which all living things are nurtured, in which all living things live...
A home of great joy and great sorrow, with a great home in which all living things are nurtured,"
home,Write a poem about home:,2,"You will be at the mercy of me
Your fate will only be mine;
You will keep me from seeing you
And let me know that you want to live in me;
And that you can't give me a name.
You will not give me the love you've promised;
You will not give me the love you've promised;
And you'll never be my wife
Your husband will never be my wife;
Your only concern is my life.
I"
hope,Write a poem about hope:,0,"And you will be a true lover of hope
Your heart must never be filled with joy
Your heart must never change
Your soul will always be with hope
Your soul must never be divided
Your soul will always be with hope
You will always love and trust me
You will always care for me and I love you
I love you with all my heart, I love you with all my heart
If I was all alone you would be my love
If I were all alone"
hope,Write a poem about hope:,1,"Hope is not to be feared
except as it seems,
It can be found by some in our own country
And sometimes even more,
It is found in our homes, too.
And there it's left, in our streets
Like that hope is there for us all
But to be found is nothing
But what it is to be found
It may be to some for us;
But the one to be found is
Hope is not to be feared
except"
hope,Write a poem about hope:,2,"It is the hardest thing you can do
To make friends;
So you have to know it is true
To put a smile on the face.
How can you be so happy when you are
Living with others who are
Loving each other?
When you are together you feel so
Just at the same time;
You want to love, love and love
Together;
But the only people
You know you really want to
Are friends, you can be"
house,Write a poem about house:,0,"The best thing about my home is my home
And I find that my house is good enough for me
It seems that the house is good enough for me
I am so happy I am living in a house in a country that loves me
And I am so happy that my house is good enough for me
The house is nice, but it is not quite as clean as my home
I can always fix it and put it away with a smile,
My house is pretty,"
house,Write a poem about house:,1,"For you know what you're done,
When you have left my home.
If you can, do, for all eternity,
That is my home, my own home.
And I'll give you that home,
In honor of the woman that I have left.
Do I leave you?
You are not my house, I don't want to be,
A house is my home, my home.
And you are my wife's home,
You are"
house,Write a poem about house:,2,"'O my love of home!'
'Oh, why do you hate home?'
'O my love of home! why do you hate
home? Why do you hate
home?'
'O my love of home! why do you hate
home? Why do you hate
home? Why do you hate
home?'
'O my love of home! why do you hate
home?'
'O my love of home! why do you hate
home? Why"
hunting,Write a poem about hunting:,0,"The hunt is the greatest hunt of all,
And there's no other way to say it,
If you would just say, ""Hey! Can't you find me?""
The chase is the greatest hunt of all,
But not just any hunt
That's the greatest hunt,
And there's no other way to say it,
If you would just say, ""Hey! Can't you find me?""
""The Hunt is the greatest hunt of all""
In"
hunting,Write a poem about hunting:,1,"The hunting-hunting-hunt is a great joy.
And in the days of the hunt, and in the days of the hunt,
I bear the name of a man.
I bear a name to remember him.
And, I bear a name to remember you.
And, I bear a name to remember you.
He who says, ""I bear a name to remember me,""
I bear a name to remember you.
And, I bear a name"
hunting,Write a poem about hunting:,2,"You have to find a good place to put your bow
on the hunt—
and if you can't find one, then you have to hunt
for it by a long distance.
The most famous hunter of America, George Washington, was a great hunter,
hunting for his deer as well as his boar.
George Washington's hunt was quite successful. In his great age, his age of 30 he set foot on the trail
of three men, which led to"
husband,Write a poem about husband:,0,"Let the child who is now his or her own say that he will not be his or her.
Let him and his wife have their own voice.
Let them tell the story about the man who lost his life to love his wife.
If he says, ""I love your wife, and I think she's a lovely woman,"" he'll look like the father of a child.
This is to give us the best opportunity of life.
Here's the poem in which we"
husband,Write a poem about husband:,1,"There can be many wives,
One woman, one girl
One woman, one baby
One daughter
One daughter, one girl
It would be wonderful to be a husband,
One woman, one girl
It would be great to be a mother
One woman, one girl
It would be beautiful to be a father,
One woman, one girl
The children, the grandchildren
The children, the grandchildren
But when you have been a father
You will be a"
husband,Write a poem about husband:,2,"That would be more lovely than anything,
Or would make you forget the love of your heart.
A poem about husband:
That would be more lovely than anything,
Or would make you forget the love of your heart.
A poem about husband:
That would be more lovely than anything,
Or would make you forget the love of your heart.
A poem about husband:
That would be more lovely than anything,
Or would make you forget the love of your"
identity,Write a poem about identity:,0,"The poem begins with:
You were born
Who are your parents
Was born
Who know about your past
Who you know?
Then you begin the poem:
You are not alone
Your name is not your face
Your whole life was a mystery
But now your name has been revealed
The poem begins with:
You are born
Who are your parents
Was born
Did you grow up with someone else?
Then the poem begins:
You are not"
identity,Write a poem about identity:,1,"It is not a poem
It is not a poem
It is not a poem
It is not a poem
It is not a poem
It is not a poem
It is not a poem
It is not a poem
It is not a poem
It is not a poem
It is not a poem
It is not a poem
It is not a poem
It is not a poem
It is not a poem
It is not a poem
It is not"
identity,Write a poem about identity:,2,"How much should we care about identity? What does identity matter?
When people say ""they're all my friends,"" they mean they don't care about them.
I'm not saying they're all my friends. I'm saying that they're all mine, and my friend-friends' friends are my friends too.
When people say ""they're not my friends,"" I mean that they care about me because they share my identity.
When people say ""they're not my friends,"""
innocence,Write a poem about innocence:,0,"It has given me a lot of courage and a lot of hope
And I want to write about innocence now.
You know I'm going through a bit of a rough time
After all, in the past half of my life
My mum had an unspeakable hatred for me,
And she tried to destroy my innocence
By telling me I shouldn't be happy
In order to get away from my mother
And to keep her in the dark.
Sometimes when I say"
innocence,Write a poem about innocence:,1,"Never was I ever in love with a girl.
Never was I ever with her for any time.
Never was I ever in love with her for any long time.
Never was I ever with her for any of time.
Never was I ever in love with her for any money.
Never was I ever in love with her for any sex.
Never was I ever in love with her for any money.
Never was I ever in love with her for any money."
innocence,Write a poem about innocence:,2,"If the guilt or guilt you find is not your fault
You can't be silent about it and forgive it
You can't just ignore it but take action
And change the way you view yourself.
I hope you found this useful
If you've enjoyed this journey,
Then please share it with others
by commenting below.
Like this: Like Loading..."
january,Write a poem about january:,0,"What else can there be?
Why do we have to be careful?
It is not enough to have your name
You have to give the poem to your friend
I give it to you every Friday,
We have to write it every day.
Why does it take so long?
Your name is not important
My name is my family name
You have to give the poem to a friend
Don't get upset if I never come back,
I don't think"
january,Write a poem about january:,1,"january is the most important day of your life.
If you haven't already, you should check out the amazing book entitled ""The january on the wall"" by Neil Gaiman.
It was the most popular book of all time.
If you don't like this book, you should check out the book entitled ""The january on the wall"" by Neil Gaiman.
If you don't like the book, you should check out the book entitled ""The january on"
january,Write a poem about january:,2,
